Title,Director,Genres,Plot,Vote Average,Vote Count
Do Not Enter,Hugo Cardozo,Horror,"Two working class youtubers ‘in the making’ enter an abandoned mansion to get their basketball back, and get lost inside while pranking each other. They record their ‘quick adventure’ with their phones for their audience, and tweak it with a fake phantom appearance to attract more followers to their YouTube channel. When uploaded the video goes viral, so they start a challenge: if the video reaches a certain number of views, they will enter the house again, at night, alone, totally unprotected. As fans react positively, they will do as promised, not only to discover and unveil the true nature of the place and their inhabitants, but to realize they might not be among the living anymore. Which opens a question - how far would you go to be famous?",7.6,34
Corpse Bride,Mike Johnson,"Romance, Fantasy, Animation","In a 19th-century European village, a young man about to be married is whisked away to the underworld and wed to a mysterious corpse bride, while his real bride waits bereft in the land of the living.",7.58,9227
The Platform 2,Galder Gaztelu-Urrutia,"Science Fiction, Horror","After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.",5.649,791
My Hero Academia: You're Next,Tensai Okamura,"Animation, Action, Adventure, Science Fiction","In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends...",6.9,44
Bagman,Colm McCarthy,"Horror, Thriller","For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake.",6.5,55
Red One,Jake Kasdan,"Comedy, Action, Fantasy","After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous bounty hunter in a globe-trotting, action-packed mission to save Christmas.",8.6,12
Smile 2,Parker Finn,"Horror, Mystery","About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",6.9,277
Bad Boys: Ride or Die,Adil El Arbi,"Action, Comedy","After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",7.5,2293
Brothers,Max Barbakow,"Action, Comedy, Crime","A reformed criminal's attempt at going straight is derailed when he reunites with his sanity-testing twin brother on a road trip for the score of a lifetime. Dodging bullets, the law, and an overbearing mother along the way, they must heal their severed family bond before they end up killing each other.",6.257,148
Take Cover,Nick McKinless,"Action, Thriller",A burned-out professional sniper finds himself trapped in an all-glass penthouse by a lethal competitor and must find a way to survive and escape with little to no cover between him and the killer.,6.7,38
